sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Heron_2015_Coral_(Pocillopora)_site_3_c,77443.0,0.12405811403399752,0.0867581906027798,-0.02855045526624258,0.011560126017337856,0.021589468743310535,-0.002034673830207434,0.0008375670024394392,-0.003459725962791713,0.002157445413889646,0.0004077474342139228,0.0006753448726044913,0.0011820813447710396,-9.895656919006426e-05,-0.000509391382314457,-4.2363146991640174e-05,5.061622881120333e-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Pocillopora)_site_3_d,77444.0,0.122040634827211,0.08590360970663125,-0.012806919638385346,-2.4303883268173223e-05,-0.00402134267147293,0.009456203968909711,-0.0026722846818570513,0.011076807326515285,0.008440471105969688,-0.0004888786502950962,-0.0006528861519544369,-0.001305407199963425,0.00016407434341852843,0.0007586340278514034,5.5958138296441636e-05,-6.644532696568896e-05,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2016_Coral_(Pocillopora)_site_3_a,77453.0,0.1227366999398252,0.08680149363702203,-0.004449631554498111,-0.000498914522644557,-0.00037774810803501514,-0.0038677683937709826,-0.001076264505096752,0.005557940403601219,-0.009056336886600892,-0.0012163014428242162,-0.0030399185602316557,-0.004355329367933312,-5.529679220117603e-05,-0.0015283698959801862,-0.00012063411802339966,9.662964338166347e-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Heron_2016_Coral_(Pocillopora)_site_3_b,77454.0,0.12030354497602687,0.08475457863034579,0.001350571435818255,-0.0013537008328958898,0.0014470234287882564,-0.007030342073004849,0.0002681344615896163,-0.0018126306257245438,-0.004325807223456674,-0.0003374192600375307,0.00017398447196137235,-4.6731752000561814e-05,0.00024383189741955074,0.003031918474876468,0.0002483559969417999,-0.0002522610594636243,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2016_Coral_(Pocillopora)_site_3_c,77455.0,0.12732694159685778,0.09037458584812397,-0.016747428872486904,-0.0024535702634230143,-0.013014943050202751,0.012337010026758492,0.0004939721435545626,-0.007106831345146956,-0.006055284987653176,0.0005737714100788262,0.0011509995715579748,0.0020105704790115675,-7.806159326379334e-05,-5.4093788261543046e-05,-1.2900119142137078e-06,1.8631895730567187e-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2016_Coral_(Pocillopora)_site_3_d,77456.0,0.12974268805459652,0.09133066516002461,0.04747032676372895,0.0053634058615309906,0.009560966345877794,0.006667792966338829,-0.0007932105469699839,0.0007444591952596906,-0.0009718378886587819,0.0001460610326875891,0.00043997970996123917,0.0005828752440648335,0.00010718615921487316,-2.8640652465818814e-05,-1.0252467458747342e-05,1.5535299596659143e-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Montipora)_site_2_a,77437.0,-0.17605906007160307,0.025859328863438877,8.30415642564754e-05,-0.00011221892334382382,0.00023298058049665396,0.0008889331296898291,0.01039092291585435,0.0018237610669474078,-0.00021298283680309414,-0.0035826501996082546,0.000375227801927644,0.00038442722027554955,4.721347029139018e-05,3.2445905231947715e-05,0.0021032863882049493,5.142974303090727e-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Montipora)_site_2_b,77438.0,-0.1776669756940527,0.026166834905642235,1.053552598006541e-05,-8.671905642506885e-05,0.00012864787418649396,0.00026017912925749086,0.002525817518229032,0.0005755637618107594,-0.0001789592420267552,-0.0002803207067587282,2.716715059727974e-05,3.357416455463221e-05,5.318697815627218e-05,0.0005088264236191387,-0.001483274238853187,0.0005449487891713348,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Montipora)_site_2_c,77439.0,-0.17428065768075943,0.02558862915324646,0.00016645934877282387,-0.00015959406046070926,0.00032157046917349137,0.0007378253493556052,0.005557402097638828,0.0007932737723287302,-4.284748834067412e-05,-0.0008262341106117415,0.00016181290335201445,0.00044461694377909134,-0.00025474320519212364,-0.0010013938012757469,-0.0004964438037653947,-0.0007611593016855078,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Heron_2015_Coral_(Montipora)_site_2_d,77440.0,-0.1772435537810681,0.026095390443592922,3.02615309110645e-05,-9.646696294550084e-05,0.00015370990492949524,0.00031737736728432815,0.002828982079345453,0.0005887693948153873,-0.00016162047304375116,8.033517413676861e-05,-1.212247292746038e-05,-1.4263798733140992e-05,3.9929665010643764e-05,0.0003805540779927894,-0.0005256114951400875,0.0010986290865398298,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
