Sample_ID,Full,Type,Specific,Season,Site,Replicate,Water,Reseq_pairs,Culture_clade,Culture_genus,Sequenced_clade,Sequenced_genus,Match_expected,Heron_study,Symbiodinium_network,Durusdinium_network,Fugacium_network
168_ITS2,Heron_2016_Macroalgae (Padina)_site 3_b,Environment,Macroalgae,Summer,Site_3,B,Tropical,x,x,x,x,x,x,y,y,y,y
169_ITS2,Heron_2016_Macroalgae (Padina)_site 3_c,Environment,Macroalgae,Summer,Site_3,C,Tropical,x,x,x,x,x,x,y,y,y,y
170_ITS2,Heron_2016_Macroalgae (Padina)_site 3_d,Environment,Macroalgae,Summer,Site_3,D,Tropical,x,x,x,x,x,x,y,y,y,y
30_ITS2,Heron_2016_Sediment_site 1_a,Environment,Sediment,Summer,Site_1,A,Tropical,x,x,x,x,x,x,y,y,y,y
31_ITS2,Heron_2016_Sediment_site 1_b,Environment,Sediment,Summer,Site_1,B,Tropical,x,x,x,x,x,x,y,y,y,y
151_ITS2,Heron_2016_Sediment_site 1_c,Environment,Sediment,Summer,Site_1,C,Tropical,x,x,x,x,x,x,y,y,y,y
152_ITS2,Heron_2016_Sediment_site 1_d,Environment,Sediment,Summer,Site_1,D,Tropical,x,x,x,x,x,x,y,y,y,y
153_ITS2,Heron_2016_Sediment_site 2_a,Environment,Sediment,Summer,Site_2,A,Tropical,x,x,x,x,x,x,y,y,y,y
154_ITS2,Heron_2016_Sediment_site 2_b,Environment,Sediment,Summer,Site_2,B,Tropical,x,x,x,x,x,x,y,y,y,y
155_ITS2,Heron_2016_Sediment_site 2_c,Environment,Sediment,Summer,Site_2,C,Tropical,x,x,x,x,x,x,y,y,y,y
156_ITS2,Heron_2016_Sediment_site 2_d,Environment,Sediment,Summer,Site_2,D,Tropical,x,x,x,x,x,x,y,y,y,y
157_ITS2,Heron_2016_Sediment_site 3_a,Environment,Sediment,Summer,Site_3,A,Tropical,x,x,x,x,x,x,y,y,y,y
158_ITS2,Heron_2016_Sediment_site 3_b,Environment,Sediment,Summer,Site_3,B,Tropical,x,x,x,x,x,x,y,y,y,y
159_ITS2,Heron_2016_Sediment_site 3_c,Environment,Sediment,Summer,Site_3,C,Tropical,x,x,x,x,x,x,y,y,y,y
160_ITS2,Heron_2016_Sediment_site 3_d,Environment,Sediment,Summer,Site_3,D,Tropical,x,x,x,x,x,x,y,y,y,y
28_ITS2,Heron_2016_Water_site 1_a,Environment,Water,Summer,Site_1,A,Tropical,x,x,x,x,x,x,y,y,y,y
29_ITS2,Heron_2016_Water_site 1_b,Environment,Water,Summer,Site_1,B,Tropical,x,x,x,x,x,x,y,y,y,y
141_ITS2,Heron_2016_Water_site 1_c,Environment,Water,Summer,Site_1,C,Tropical,x,x,x,x,x,x,y,y,y,y
142_ITS2,Heron_2016_Water_site 1_d,Environment,Water,Summer,Site_1,D,Tropical,x,x,x,x,x,x,y,y,y,y
143_ITS2,Heron_2016_Water_site 2_a,Environment,Water,Summer,Site_2,A,Tropical,x,x,x,x,x,x,y,y,y,y
144_ITS2,Heron_2016_Water_site 2_b,Environment,Water,Summer,Site_2,B,Tropical,x,x,x,x,x,x,y,y,y,y
145_ITS2,Heron_2016_Water_site 2_c,Environment,Water,Summer,Site_2,C,Tropical,x,x,x,x,x,x,y,y,y,y
146_ITS2,Heron_2016_Water_site 2_d,Environment,Water,Summer,Site_2,D,Tropical,x,x,x,x,x,x,y,y,y,y
147_ITS2,Heron_2016_Water_site 3_a,Environment,Water,Summer,Site_3,A,Tropical,x,x,x,x,x,x,y,y,y,y
148_ITS2,Heron_2016_Water_site 3_b,Environment,Water,Summer,Site_3,B,Tropical,x,x,x,x,x,x,y,y,y,y
149_ITS2,Heron_2016_Water_site 3_c,Environment,Water,Summer,Site_3,C,Tropical,x,x,x,x,x,x,y,y,y,y
150_ITS2,Heron_2016_Water_site 3_d,Environment,Water,Summer,Site_3,D,Tropical,x,x,x,x,x,x,y,y,y,y
RB7,RB7,Culture,RB7,x,x,x,x,x,clade D,Durusdinium,clade D,Durusdinium,y,y,n,y,y
SV_FL_1,SV_FL_1,Culture,SV_FL_1,x,x,x,x,x,clade E,Effrenium,clade E,Effrenium,y,y,n,n,n
SV_IC,SV_IC,Culture,SV_IC,x,x,x,x,x,clade E,Effrenium,clade E,Effrenium,y,y,n,n,n
